timestamp,simple-path,time
2021-08-09 14:07:07.718,/master/welcome,278
2021-08-09 14:07:07.931,/master/welcome,170
2021-08-09 14:07:08.671,/master/sign-in,592
2021-08-09 14:07:09.906,/master/welcome,590
2021-08-09 14:07:11.723,/master/welcome,188
2021-08-09 14:07:12.426,/master/welcome,592
2021-08-09 14:07:12.719,/master/welcome,169
2021-08-09 14:07:12.937,/master/welcome,173
2021-08-09 14:07:13.646,/master/sign-in,597
2021-08-09 14:07:14.928,/master/welcome,598
2021-08-09 14:07:15.731,/authenticated/task/list,585
2021-08-09 14:07:17.894,/master/welcome,171
2021-08-09 14:07:18.094,/master/welcome,169
2021-08-09 14:07:18.81,/master/sign-in,603
2021-08-09 14:07:20.106,/master/welcome,591
2021-08-09 14:07:20.899,/authenticated/task/list,583
2021-08-09 14:07:22.989,/master/welcome,162
2021-08-09 14:07:23.195,/master/welcome,174
2021-08-09 14:07:23.927,/master/sign-in,594
2021-08-09 14:07:25.226,/master/welcome,604
2021-08-09 14:07:26.033,/authenticated/task/list,598
2021-08-09 14:07:28.179,/master/welcome,170
2021-08-09 14:07:28.426,/authenticated/task/list,202
