timestamp,simple-path,time
2021-08-11 11:19:50.304,/master/welcome,304
2021-08-11 11:19:50.534,/master/welcome,186
2021-08-11 11:19:51.267,/master/sign-in,598
2021-08-11 11:19:52.52,/master/welcome,593
2021-08-11 11:19:54.346,/master/welcome,185
2021-08-11 11:19:55.049,/master/welcome,598
2021-08-11 11:19:55.348,/master/welcome,170
2021-08-11 11:19:56.145,/anonymous/task/list,589
2021-08-11 11:19:58.733,/master/welcome,157
2021-08-11 11:19:59.515,/anonymous/task/list,590
2021-08-11 11:20:00.413,/master/welcome,168
2021-08-11 11:20:01.183,/anonymous/task/list,590
2021-08-11 11:20:03.822,/master/welcome,185
2021-08-11 11:20:04.59,/anonymous/task/list,599
2021-08-11 11:20:05.08,/master/welcome,174
2021-08-11 11:20:05.277,/master/welcome,171
2021-08-11 11:20:06.0,/master/sign-in,594
2021-08-11 11:20:07.255,/master/welcome,593
2021-08-11 11:20:07.525,/anonymous/task/list,189
